Date : 2024-03-29 15:14:03
Directory : d:\For Studing\Flutter\helping_hands
Total : 236 files,  12095 codes, 836 comments, 1611 blanks, all 14542 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lib\Features\dangerMap\presentation (Files)                                                                                     |          1 |         87 |          0 |          3 |         90 |
| lib\Features\dangerMap\presentation\manager                                                                                     |          2 |         39 |          0 |         10 |         49 |
| lib\Features\dangerMap\presentation\manager\danger_map                                                                          |          2 |         39 |          0 |         10 |         49 |
| lib\Features\findContact                                                                                                        |         12 |        518 |          7 |         53 |        578 |
| lib\Features\findContact\data                                                                                                   |          1 |         86 |          1 |          9 |         96 |
| lib\Features\findContact\presentation                                                                                           |         11 |        432 |          6 |         44 |        482 |
| lib\Features\findContact\presentation (Files)                                                                                   |          2 |         79 |          0 |          5 |         84 |
| lib\Features\findContact\presentation\manager                                                                                   |          2 |         69 |          2 |         16 |         87 |
| lib\Features\findContact\presentation\manager\contact_location                                                                  |          2 |         69 |          2 |         16 |         87 |
| lib\Features\findContact\presentation\widgets                                                                                   |          7 |        284 |          4 |         23 |        311 |
| lib\Features\maps                                                                                                               |          8 |        422 |          1 |         49 |        472 |
| lib\Features\maps\data                                                                                                          |          1 |         70 |          1 |          9 |         80 |
| lib\Features\maps\presentation                                                                                                  |          7 |        352 |          0 |         40 |        392 |
| lib\Features\maps\presentation (Files)                                                                                          |          1 |          9 |          0 |          3 |         12 |
| lib\Features\maps\presentation\manager                                                                                          |          2 |         81 |          0 |         21 |        102 |
| lib\Features\maps\presentation\manager\Searchdir                                                                                |          2 |         81 |          0 |         21 |        102 |
| lib\Features\maps\presentation\widgets                                                                                          |          4 |        262 |          0 |         16 |        278 |
| lib\core                                                                                                                        |         13 |      1,915 |        159 |        245 |      2,319 |
| lib\core (Files)                                                                                                                |          1 |         24 |          1 |          3 |         28 |
| lib\core\GeneralImp                                                                                                             |          4 |      1,759 |        121 |        202 |      2,082 |
| lib\core\utils                                                                                                                  |          7 |        117 |         37 |         38 |        192 |
| lib\core\widgets                                                                                                                |          1 |         15 |          0 |          2 |         17 |
| lib\generated                                                                                                                   |          4 |        761 |         97 |         98 |        956 |
| lib\generated (Files)                                                                                                           |          1 |        529 |         67 |         74 |        670 |
| lib\generated\intl                                                                                                              |          3 |        232 |         30 |         24 |        286 |
| lib\l10n                                                                                                                        |          2 |        121 |          0 |         10 |        131 |
| lib\language_theme_cubit                                                                                                        |          2 |         52 |          0 |         12 |         64 |
| linux                                                                                                                           |          5 |        122 |         27 |         38 |        187 |
| linux (Files)                                                                                                                   |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                                                   |          2 |         36 |          9 |         11 |         56 |
| macos                                                                                                                           |          7 |        473 |          5 |         16 |        494 |
| macos (Files)                                                                                                                   |          1 |          7 |          0 |          0 |          7 |
| macos\Flutter                                                                                                                   |          1 |         28 |          3 |          4 |         35 |
| macos\Runner                                                                                                                    |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                                            |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                                               |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                                    |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                                 |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                                         |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                                            |          1 |         14 |         10 |          6 |         30 |
| web                                                                                                                             |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                                         |         10 |        460 |         94 |        143 |        697 |
| windows\flutter                                                                                                                 |          2 |         32 |          9 |         11 |         52 |
| windows\runner                                                                                                                  |          8 |        428 |         85 |        132 |        645 |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                        | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\For Studing\Flutter\helping_hands\README.md                                                                                  | Markdown   |         10 |          0 |          7 |         17 |
| d:\For Studing\Flutter\helping_hands\analysis_options.yaml                                                                      | YAML       |          3 |         22 |          4 |         29 |
| d:\For Studing\Flutter\helping_hands\android\app\build.gradle                                                                   | Gradle     |         52 |          5 |         11 |         68 |
| d:\For Studing\Flutter\helping_hands\android\app\google-services.json                                                           | JSON       |         39 |          0 |          0 |         39 |
| d:\For Studing\Flutter\helping_hands\android\app\src\debug\AndroidManifest.xml                                                  | XML        |          3 |          4 |          1 |          8 |
| d:\For Studing\Flutter\helping_hands\android\app\src\main\AndroidManifest.xml                                                   | XML        |         49 |          6 |          7 |         62 |
| d:\For Studing\Flutter\helping_hands\android\app\src\main\res\drawable-v21\launch_background.xml                                | XML        |          4 |          7 |          2 |         13 |
| d:\For Studing\Flutter\helping_hands\android\app\src\main\res\drawable\launch_background.xml                                    | XML        |          4 |          7 |          2 |         13 |
| d:\For Studing\Flutter\helping_hands\android\app\src\main\res\values-night\styles.xml                                           | XML        |          9 |          9 |          1 |         19 |
| d:\For Studing\Flutter\helping_hands\android\app\src\main\res\values\strings.xml                                                | XML        |          6 |          0 |          1 |          7 |
| d:\For Studing\Flutter\helping_hands\android\app\src\main\res\values\styles.xml                                                 | XML        |          9 |          9 |          1 |         19 |
| d:\For Studing\Flutter\helping_hands\android\app\src\profile\AndroidManifest.xml                                                | XML        |          3 |          4 |          1 |          8 |
| d:\For Studing\Flutter\helping_hands\android\build.gradle                                                                       | Gradle     |         27 |          0 |          7 |         34 |
| d:\For Studing\Flutter\helping_hands\android\gradle.properties                                                                  | Properties |          3 |          0 |          1 |          4 |
| d:\For Studing\Flutter\helping_hands\android\gradle\wrapper\gradle-wrapper.properties                                           | Properties |          5 |          0 |          1 |          6 |
| d:\For Studing\Flutter\helping_hands\android\settings.gradle                                                                    | Gradle     |         16 |          0 |          5 |         21 |
| d:\For Studing\Flutter\helping_hands\devtools_options.yaml                                                                      | YAML       |          1 |          0 |          1 |          2 |
| d:\For Studing\Flutter\helping_hands\ios\RunnerTests\RunnerTests.swift                                                          | Swift      |          7 |          2 |          4 |         13 |
| d:\For Studing\Flutter\helping_hands\ios\Runner\AppDelegate.swift                                                               | Swift      |         12 |          0 |          2 |         14 |
| d:\For Studing\Flutter\helping_hands\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                                | JSON       |        122 |          0 |          1 |        123 |
| d:\For Studing\Flutter\helping_hands\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                              | JSON       |         23 |          0 |          1 |         24 |
| d:\For Studing\Flutter\helping_hands\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                                  | Markdown   |          3 |          0 |          2 |          5 |
| d:\For Studing\Flutter\helping_hands\ios\Runner\Base.lproj\LaunchScreen.storyboard                                              | XML        |         36 |          1 |          1 |         38 |
| d:\For Studing\Flutter\helping_hands\ios\Runner\Base.lproj\Main.storyboard                                                      | XML        |         25 |          1 |          1 |         27 |
| d:\For Studing\Flutter\helping_hands\ios\Runner\Runner-Bridging-Header.h                                                        | C++        |          1 |          0 |          1 |          2 |
| d:\For Studing\Flutter\helping_hands\ios\firebase_app_id_file.json                                                              | JSON       |          7 |          0 |          0 |          7 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\data\home_impl.dart                                                      | Dart       |         65 |          2 |         11 |         78 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\accidant_location.dart                                      | Dart       |         70 |          0 |          6 |         76 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\home.dart                                                   | Dart       |         73 |          1 |          5 |         79 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\home_screen.dart                                            | Dart       |         16 |          0 |          4 |         20 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\manager\acc_on_map\acc_on_map_cubit.dart                    | Dart       |         31 |          0 |          4 |         35 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\manager\acc_on_map\acc_on_map_state.dart                    | Dart       |         13 |          0 |          6 |         19 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\manager\home_list\home_list_cubit.dart                      | Dart       |         17 |          0 |          4 |         21 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\manager\home_list\home_list_state.dart                      | Dart       |         13 |          0 |          6 |         19 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\manager\navigation_bar\navigation_bar_cubit.dart            | Dart       |         18 |          0 |          6 |         24 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\manager\navigation_bar\navigation_bar_state.dart            | Dart       |          8 |          1 |          4 |         13 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\app_bar_title.dart                                  | Dart       |         39 |         13 |          7 |         59 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\bar.dart                                            | Dart       |         23 |         11 |          3 |         37 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\distance_widget.dart                                | Dart       |         71 |          0 |          3 |         74 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\floating_button.dart                                | Dart       |         21 |          0 |          3 |         24 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\floating_buttons.dart                               | Dart       |         22 |          0 |          3 |         25 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\floating_serach_button.dart                         | Dart       |         44 |          0 |          3 |         47 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\home_body.dart                                      | Dart       |         68 |          0 |          2 |         70 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\home_list.dart                                      | Dart       |         13 |          0 |          2 |         15 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\location_on_map.dart                                | Dart       |         28 |          0 |          4 |         32 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\lower_section.dart                                  | Dart       |         62 |          0 |          4 |         66 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\options.dart                                        | Dart       |         20 |          0 |          2 |         22 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\optoin_icon.dart                                    | Dart       |         53 |          0 |          2 |         55 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\photo_view.dart                                     | Dart       |         30 |          0 |          5 |         35 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\post_image.dart                                     | Dart       |         35 |          0 |          4 |         39 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\report_model.dart                                   | Dart       |         38 |          0 |          2 |         40 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\time_ago.dart                                       | Dart       |         42 |          0 |          6 |         48 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\to_locations_list.dart                              | Dart       |         22 |          0 |          3 |         25 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\user_info_row.dart                                  | Dart       |         64 |          0 |          2 |         66 |
| d:\For Studing\Flutter\helping_hands\lib\Features\PostReport\data\post_report_imp.dart                                          | Dart       |         70 |          2 |         11 |         83 |
| d:\For Studing\Flutter\helping_hands\lib\Features\PostReport\presentation\manager\post_report\post_report_cubit.dart            | Dart       |         51 |          0 |          7 |         58 |
| d:\For Studing\Flutter\helping_hands\lib\Features\PostReport\presentation\manager\post_report\post_report_state.dart            | Dart       |         26 |          0 |         10 |         36 |
| d:\For Studing\Flutter\helping_hands\lib\Features\PostReport\presentation\post_report.dart                                      | Dart       |         19 |          0 |          3 |         22 |
| d:\For Studing\Flutter\helping_hands\lib\Features\PostReport\presentation\widgets\capture_image.dart                            | Dart       |         70 |          0 |          3 |         73 |
| d:\For Studing\Flutter\helping_hands\lib\Features\PostReport\presentation\widgets\post_button.dart                              | Dart       |         48 |          0 |          3 |         51 |
| d:\For Studing\Flutter\helping_hands\lib\Features\PostReport\presentation\widgets\post_report_body.dart                         | Dart       |         17 |          0 |          4 |         21 |
| d:\For Studing\Flutter\helping_hands\lib\Features\PostReport\presentation\widgets\radio_form.dart                               | Dart       |         57 |          0 |          3 |         60 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\Profile.dart                                             | Dart       |         22 |          1 |          2 |         25 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\manager\Profile_info\UserBotton\user_botton_cubit.dart   | Dart       |         24 |          6 |         13 |         43 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\manager\Profile_info\UserBotton\user_botton_state.dart   | Dart       |         28 |          7 |         14 |         49 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\manager\Profile_info\UserField\user_field_cubit.dart     | Dart       |        217 |          8 |         50 |        275 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\manager\Profile_info\UserField\user_field_state.dart     | Dart       |         96 |          8 |         50 |        154 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\manager\emaergancy_contacts\contacts\contacts_cubit.dart | Dart       |         19 |          0 |          5 |         24 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\manager\emaergancy_contacts\contacts\contacts_state.dart | Dart       |         13 |          1 |          6 |         20 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\manager\emaergancy_contacts\search\search_cubit.dart     | Dart       |         17 |          0 |          4 |         21 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\manager\emaergancy_contacts\search\search_state.dart     | Dart       |         13 |          1 |          6 |         20 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\manager\toggles\toggles_cubit.dart                       | Dart       |         27 |          0 |          4 |         31 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\manager\toggles\toggles_state.dart                       | Dart       |         22 |          0 |          9 |         31 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\profile_Contact.dart                                     | Dart       |         27 |          0 |          4 |         31 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\profile_information.dart                                 | Dart       |         22 |          1 |          3 |         26 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\userContact.dart                                         | Dart       |         27 |          1 |          2 |         30 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\Avatar.dart                                      | Dart       |         46 |          1 |          2 |         49 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\Logout.dart                                      | Dart       |         43 |          0 |          3 |         46 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\avatar_image.dart                                | Dart       |         54 |          0 |          2 |         56 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\chose_language.dart                              | Dart       |         12 |          1 |          2 |         15 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\chose_language_body.dart                         | Dart       |         36 |          0 |          4 |         40 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\eContacts_row.dart                               | Dart       |         34 |          0 |          3 |         37 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\edit_profile_information_row.dart                | Dart       |         34 |          1 |          3 |         38 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\first_container.dart                             | Dart       |         42 |          0 |          3 |         45 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\language_row.dart                                | Dart       |         52 |          0 |          3 |         55 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\privacy_toggle.dart                              | Dart       |         48 |          0 |          3 |         51 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\profile_body.dart                                | Dart       |         22 |          1 |          4 |         27 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\radio_box.dart                                   | Dart       |         49 |          1 |          2 |         52 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\second_container.dart                            | Dart       |         43 |          0 |          4 |         47 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\security_row.dart                                | Dart       |         29 |          0 |          3 |         32 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\theme_row.dart                                   | Dart       |         54 |          3 |          3 |         60 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\upper_section.dart                               | Dart       |         42 |          1 |          3 |         46 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\Item_widget.dart                        | Dart       |         56 |          1 |          3 |         60 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\Profile_contact_body.dart               | Dart       |         55 |          1 |          4 |         60 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\Search_users.dart                       | Dart       |         44 |          1 |          2 |         47 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\User_Contact_body.dart                  | Dart       |         20 |          1 |          2 |         23 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\add_user_contacts.dart                  | Dart       |         35 |          1 |          3 |         39 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\contact_profile_info.dart               | Dart       |        160 |          0 |          4 |        164 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\contact_profile_photo.dart              | Dart       |         30 |          0 |          4 |         34 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\floating_botton.dart                    | Dart       |         24 |          0 |          3 |         27 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\search_dialog.dart                      | Dart       |         27 |          0 |          3 |         30 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\search_field.dart                       | Dart       |         19 |          0 |          3 |         22 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\search_model.dart                       | Dart       |         50 |          1 |          3 |         54 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\ChronicDiseases_update_button.dart   | Dart       |         33 |          2 |          7 |         42 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\Chronic_Diseases_field.dart          | Dart       |        106 |          2 |          9 |        117 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\NationalId_field.dart                | Dart       |        103 |          2 |         10 |        115 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\NationalId_update_botton.dart        | Dart       |         32 |          2 |          7 |         41 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\address_field.dart                   | Dart       |         98 |          2 |         10 |        110 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\address_update_botton.dart           | Dart       |         32 |          1 |          6 |         39 |
| d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\blood_type.dart                      | Dart       |         62 |          2 |          4 |         68 |
